schoolid,schoolname,Cohort,LT_Emp,Bar_FTLT,Bar_FTST,Bar_PTLT,Bar_PTST,Bar_Emp,JDA_FTLT,JDA_FTST,JDA_PTLT,JDA_PTST,JDA_Emp,Prof_FTLT,Prof_FTST,Prof_PTLT,Prof_PTST,Prof_Emp,Nprof_FTLT,Nprof_FTST,Nprof_PTLT,Nprof_PTST,Nprof_Emp,Undet_FTLT,Undet_FTST,Undet_PTLT,Undet_PTST,Undet_Emp,GradSch_FT,GradSch,Emp_Def,Unemp_NS,Unemp_Seek,Emp_Stat_Unk,Total_Grads,FundBar_FTLT,FundBar_FTST,FundBar_PTLT,FundBar_PTST,FundBar_Emp,LawFund_LT,LawFund_ST,FundJDA_FTLT,FundJDA_FTST,FundJDA_PTLT,FundJDA_PTST,FundJDA_Emp,FundProf_FTLT,FundProf_FTST,FundProf_PTLT,FundProf_PTST,FundProf_Emp,FundNprof_FTLT,FundNprof_FTST,FundNprof_PTLT,FundNprof_PTST,FundNprof_Emp,Funded_FTLT,Funded_FTST,Funded_PTLT,Funded_PTST,Funded_Emp,Solo_FTLT,Solo_FTST,Solo_PTLT,Solo_PTST,Solo_Emp,Solo_LT,Solo_ST,Sz_1_10_FTLT,Sz_1_10_FTST,Sz_1_10_PTLT,Sz_1_10_PTST,Sz_1_10_Emp,Sz_2_10_LT,Sz_2_10_ST,Sz_11_25_FTLT,Sz_11_25_FTST,Sz_11_25_PTLT,Sz_11_25_PTST,Sz_11_25_Emp,Sz_11_25_LT,Sz_11_25_ST,Sz_26_50_FTLT,Sz_26_50_FTST,Sz_26_50_PTLT,Sz_26_50_PTST,Sz_26_50_Emp,Sz_26_50_LT,Sz_26_50_ST,Sz_51_100_FTLT,Sz_51_100_FTST,Sz_51_100_PTLT,Sz_51_100_PTST,Sz_51_100_Emp,Sz_51_100_LT,Sz_51_100_ST,Sz_101_250_FTLT,Sz_101_250_FTST,Sz_101_250_PTLT,Sz_101_250_PTST,Sz_101_250_Emp,Sz_101_250_LT,Sz_101_250_ST,Sz_251_500_FTLT,Sz_251_500_FTST,Sz_251_500_PTLT,Sz_251_500_PTST,Sz_251_500_Emp,Sz_251_500_LT,Sz_251_500_ST,Sz_501up_FTLT,Sz_501up_FTST,Sz_501up_PTLT,Sz_501up_PTST,Sz_501up_Emp,Sz_501up_LT,Sz_501up_ST,Sz_Unk_FTLT,Sz_Unk_FTST,Sz_Unk_PTLT,Sz_Unk_PTST,Sz_Unk_Emp,Sz_Unk_LT,Sz_Unk_ST,BsInd_FTLT,BsInd_FTST,BsInd_PTLT,BsInd_PTST,BsInd_Emp,BsInd_LT,BsInd_ST,Gov_FTLT,Gov_FTST,Gov_PTLT,Gov_PTST,Gov_Emp,Gov_LT,Gov_St,Pub_FTLT,Pub_FTST,Pub_PTLT,Pub_PTST,Pub_Emp,Pub_LT,Pub_ST,FedClk_FTLT,FedClk_FTST,FedClk_PTLT,FedClk_PTST,FedClk_Emp,FedClk_LT,FedClk_ST,LocClk_FTLT,LocClk_FTST,LocClk_PTLT,LocClk_PTST,LocClk_Emp,LocClk_LT,LocClk_ST,IntlClk,IntlClk_FTLT,IntlClk_FTST,IntlClk_PTLT,IntlClk_PTST,TribalClk,TribalClk_FTLT,TribalClk_FTST,TribalClk_PTLT,TribalClk_PTST,OthClk_FTLT,OthClk_FTST,OthClk_PTLT,OthClk_PTST,OthClk_Emp,Acad_FTLT,Acad_FTST,Acad_PTLT,Acad_PTST,Acad_Emp,Acad_LT,Acad_ST,Unk_FTLT,Unk_FTST,Unk_PTLT,Unk_PTST,Unk_Emp,Total_FTLT,Total_FTST,Total_PTLT,Total_PTST,Total_Emp_Type,Total_LT,Total_ST,State_Emp1,State_Emp1_Num,State_Emp2,State_Emp2_Num,State_Emp3,State_Emp3_Num,Foreign_Emp_Num
00396900,University of Minnesota,2018,,155,0,1,0,156,19,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,1,1,3,1,192,4,4,0,0,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,1,0,0,0,1,,,19,0,0,0,19,,,9,0,0,0,9,,,4,0,0,0,4,,,2,0,0,0,2,,,10,0,0,0,10,,,12,0,0,0,12,,,20,0,0,0,20,,,0,0,0,0,0,,,28,0,1,0,29,,,11,2,0,0,13,,,12,1,0,0,13,,,12,0,1,0,13,,,37,1,0,0,38,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,,,0,0,0,0,0,178,4,2,0,184,,,MN,120,IL,14,NY,10,5
00425090,Inter American University of Puerto Rico,2015,,15,21,0,3,39,13,7,0,3,23,54,16,0,3,73,1,0,1,1,3,0,0,0,0,0,2,,0,24,31,3,198,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,10,,,15,8,0,1,24,,,2,1,0,0,3,,,0,1,0,0,1,,,0,0,0,0,0,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,42,13,1,6,62,,,17,8,0,1,26,,,1,1,0,0,2,,,0,0,0,0,0,,,0,3,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,1,0,0,6,,,0,0,0,0,0,83,44,1,10,138,,,PR,130,FL,5,NY,1,0
00425090,Inter American University of Puerto Rico,2016,,16,0,1,0,17,22,2,4,3,31,24,4,4,1,33,5,0,3,0,8,0,0,0,0,0,6,,2,12,46,7,162,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,,,15,1,2,1,19,,,1,0,0,0,1,,,1,0,0,0,1,,,1,0,0,0,1,,,2,0,0,0,2,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,25,5,7,2,39,,,16,0,2,1,19,,,0,0,0,0,0,,,0,0,0,0,0,,,1,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,3,0,0,0,3,,,0,0,0,0,0,67,6,12,4,89,,,PR,83,DC,2,FL,2,0
00425090,Inter American University of Puerto Rico,2017,,20,0,0,3,23,38,8,6,3,55,41,8,1,4,54,0,1,0,2,3,0,0,0,0,0,9,,2,2,80,0,228,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,14,2,4,4,24,,,4,0,0,0,4,,,2,0,0,0,2,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,47,8,2,5,62,,,23,7,0,2,32,,,1,0,0,0,1,,,0,0,0,0,0,,,5,0,0,0,5,,,,,,,,,,,,,0,0,0,0,0,2,0,1,1,4,,,0,0,0,0,0,99,17,7,12,135,,,PR,114,FL,6,TX,5,0
00425090,Inter American University of Puerto Rico,2018,,21,1,2,0,24,33,0,8,2,43,35,0,4,0,39,3,0,0,0,3,1,0,0,1,2,7,,1,3,68,16,207,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,,,15,1,6,1,23,,,5,0,1,0,6,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,40,0,3,0,43,,,22,0,2,1,25,,,2,0,1,0,3,,,1,0,0,0,1,,,1,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,4,0,1,1,6,,,0,0,0,1,1,93,1,14,4,112,,,PR,102,FL,2,CT,1,0
00497700,South Texas College of Law,2015,,206,3,15,0,224,12,4,7,0,23,8,0,4,0,12,0,3,1,1,5,8,0,1,0,9,4,,0,21,37,14,349,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,22,,,85,1,2,1,89,,,21,1,0,0,22,,,9,0,1,0,10,,,9,0,0,0,9,,,1,0,0,0,1,,,3,0,0,0,3,,,5,1,0,0,6,,,11,0,0,0,11,,,22,5,11,0,38,,,24,0,3,0,27,,,6,0,0,0,6,,,1,0,0,0,1,,,1,1,0,0,2,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,,,18,0,7,0,25,234,10,28,1,273,,,TX,162,IL,3,LA,2,0
00497700,South Texas College of Law,2016,,175,10,1,6,192,31,6,2,4,43,19,3,0,2,24,1,0,0,1,2,0,0,0,0,0,5,,2,7,48,8,331,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,7,,,86,8,0,9,103,,,26,2,1,0,29,,,13,1,0,0,14,,,12,1,0,0,13,,,3,0,0,0,3,,,5,0,0,0,5,,,4,0,0,0,4,,,1,0,0,0,1,,,34,6,1,1,42,,,24,0,0,0,24,,,3,0,0,0,3,,,3,0,0,0,3,,,3,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,1,0,1,7,,,0,0,0,0,0,226,19,3,13,261,,,TX,252,FL,3,DC,1,1
00497700,South Texas College of Law,2017,,158,7,5,3,173,27,3,3,3,36,12,1,2,2,17,1,1,1,3,6,0,0,0,0,0,6,,0,2,52,5,298,0,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0,9,,,76,3,4,5,88,,,16,0,0,0,16,,,17,0,0,0,17,,,6,0,0,0,6,,,4,0,0,0,4,,,2,0,0,0,2,,,8,0,0,0,8,,,0,0,0,0,0,,,32,5,3,4,44,,,19,3,0,0,22,,,5,1,0,0,6,,,1,0,0,0,1,,,0,0,1,0,1,,,,,,,,,,,,,0,0,0,0,0,4,0,2,2,8,,,0,0,0,1,1,198,12,11,12,233,,,TX,226,FL,1,GA,1,1
00497700,South Texas College of Law,2018,,160,4,4,3,171,24,4,6,2,36,9,0,0,0,9,1,0,0,0,1,0,0,0,1,1,10,,2,0,40,1,273,1,0,1,0,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,0,1,1,9,,,70,2,2,2,76,,,27,1,0,2,30,,,12,0,0,0,12,,,7,0,1,0,8,,,7,0,0,0,7,,,3,0,0,0,3,,,7,0,0,0,7,,,0,0,0,0,0,,,20,4,4,1,29,,,27,1,0,0,28,,,1,0,1,0,2,,,2,0,0,0,2,,,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,5,0,2,0,7,,,0,0,0,0,0,195,8,11,6,220,,,TX,211,FL,3,CA,1,0
00891600,New England Law | Boston,2015,,143,7,1,1,152,60,3,1,3,67,17,2,3,1,23,3,0,2,1,6,0,0,0,0,0,9,,1,1,61,14,334,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,,,64,0,2,2,68,,,12,0,0,0,12,,,8,2,0,0,10,,,5,0,0,0,5,,,1,0,0,1,2,,,1,0,0,0,1,,,3,0,0,0,3,,,1,5,0,1,7,,,57,4,3,1,65,,,28,0,1,0,29,,,14,0,0,0,14,,,1,0,0,0,1,,,15,0,0,0,15,,,,,,,,,,,,,1,0,0,0,1,5,1,1,1,8,,,0,0,0,0,0,223,12,7,6,248,,,MA,151,NY,32,CA,8,1
00891600,New England Law | Boston,2016,,81,4,0,0,85,46,4,2,6,58,13,0,1,0,14,0,0,0,3,3,1,0,0,0,1,4,,0,0,20,25,210,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,,,45,2,2,3,52,,,9,0,0,0,9,,,3,0,0,0,3,,,1,1,0,0,2,,,4,0,0,0,4,,,0,1,0,0,1,,,1,0,0,0,1,,,1,0,0,0,1,,,37,4,1,6,48,,,19,0,0,0,19,,,7,0,0,0,7,,,0,0,0,0,0,,,6,0,0,0,6,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,1,,,1,0,0,0,1,141,8,3,9,161,,,MA,114,NY,10,CA,5,1
